ts_unix_ms,ts_dt_utc,symbol,n_trades_1s,sum_qty_1s,vwap_1s,buy_qty_1s,sell_qty_1s,buy_notional_1s,sell_notional_1s
1771365786653,2026-02-17 22:03:06.653000,XRPUSDT,1,39.7,1.4835,39.7,0.0,58.89495000000001,0.0
1771365787658,2026-02-17 22:03:07.658000,BTCUSDT,1,0.03,67627.2,0.03,0.0,2028.8159999999998,0.0
1771365787658,2026-02-17 22:03:07.658000,ETHUSDT,1,1.404,1998.8999999999999,0.0,1.404,0.0,2806.4556
1771365787658,2026-02-17 22:03:07.658000,SOLUSDT,1,15.06,85.21,15.06,0.0,1283.2626,0.0
1771365787658,2026-02-17 22:03:07.658000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365787658,2026-02-17 22:03:07.658000,XRPUSDT,1,194.6,1.4835,194.6,0.0,288.6891,0.0
1771365788669,2026-02-17 22:03:08.669000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365788669,2026-02-17 22:03:08.669000,ETHUSDT,1,2.862,1998.9,2.862,0.0,5720.8518,0.0
1771365788669,2026-02-17 22:03:08.669000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365788669,2026-02-17 22:03:08.669000,BNBUSDT,1,0.54,618.6,0.54,0.0,334.04400000000004,0.0
1771365788669,2026-02-17 22:03:08.669000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365789679,2026-02-17 22:03:09.679000,BTCUSDT,1,0.028,67627.2,0.0,0.028,0.0,1893.5616
1771365789679,2026-02-17 22:03:09.679000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365789679,2026-02-17 22:03:09.679000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365789679,2026-02-17 22:03:09.679000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365789679,2026-02-17 22:03:09.679000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365790708,2026-02-17 22:03:10.708000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365790708,2026-02-17 22:03:10.708000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365790708,2026-02-17 22:03:10.708000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365790708,2026-02-17 22:03:10.708000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365790708,2026-02-17 22:03:10.708000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365791719,2026-02-17 22:03:11.719000,BTCUSDT,1,0.016,67627.2,0.016,0.0,1082.0352,0.0
1771365791719,2026-02-17 22:03:11.719000,ETHUSDT,1,2.316,1998.9,0.0,2.316,0.0,4629.4524
1771365791719,2026-02-17 22:03:11.719000,SOLUSDT,1,5.39,85.21,0.0,5.39,0.0,459.28189999999995
1771365791719,2026-02-17 22:03:11.719000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365791719,2026-02-17 22:03:11.719000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365792729,2026-02-17 22:03:12.729000,BTCUSDT,1,0.03,67627.2,0.03,0.0,2028.8159999999998,0.0
1771365792729,2026-02-17 22:03:12.729000,ETHUSDT,2,0.079,1998.9810126582279,0.064,0.015,127.936,29.9835
