ts_unix_ms,ts_dt_utc,symbol,k1_start_ms,k1_close_ms,k1_open,k1_high,k1_low,k1_close,k1_base_vol,k1_quote_vol,k1_trades,k1_closed
1771369414707,2026-02-17 23:03:34.707000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,4.0,2468.531,10,False
1771369414707,2026-02-17 23:03:34.707000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,744.1,1096.04692,11,False
1771369415723,2026-02-17 23:03:35.723000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.491,100583.8605,28,False
1771369415723,2026-02-17 23:03:35.723000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,40.646,80984.1455,23,False
1771369415723,2026-02-17 23:03:35.723000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,117.94,10012.3489,14,False
1771369415723,2026-02-17 23:03:35.723000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,4.51,2783.303,11,False
1771369415723,2026-02-17 23:03:35.723000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,744.1,1096.04692,11,False
1771369416742,2026-02-17 23:03:36.742000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.522,102675.7932,29,False
1771369416742,2026-02-17 23:03:36.742000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,40.646,80984.1455,23,False
1771369416742,2026-02-17 23:03:36.742000,SOLUSDT,1771369380000,1771369439999,84.89,84.91,84.89,84.91,119.48,10143.1103,15,False
1771369416742,2026-02-17 23:03:36.742000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,4.51,2783.303,11,False
1771369416742,2026-02-17 23:03:36.742000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,799.3,1177.36756,12,False
1771369417757,2026-02-17 23:03:37.757000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.554,104835.2076,30,False
1771369417757,2026-02-17 23:03:37.757000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,40.646,80984.1455,23,False
1771369417757,2026-02-17 23:03:37.757000,SOLUSDT,1771369380000,1771369439999,84.89,84.91,84.89,84.91,119.48,10143.1103,15,False
1771369417757,2026-02-17 23:03:37.757000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,4.51,2783.303,11,False
1771369417757,2026-02-17 23:03:37.757000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,799.3,1177.36756,12,False
1771369418772,2026-02-17 23:03:38.772000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.587,107062.1037,31,False
1771369418772,2026-02-17 23:03:38.772000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,41.54,82765.6193,24,False
1771369418772,2026-02-17 23:03:38.772000,SOLUSDT,1771369380000,1771369439999,84.89,84.91,84.89,84.91,127.11,10790.9736,16,False
1771369418772,2026-02-17 23:03:38.772000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,4.51,2783.303,11,False
1771369418772,2026-02-17 23:03:38.772000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,799.3,1177.36756,12,False
1771369419790,2026-02-17 23:03:39.790000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.587,107062.1037,31,False
1771369419790,2026-02-17 23:03:39.790000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,42.881,85437.83,25,False
1771369419790,2026-02-17 23:03:39.790000,SOLUSDT,1771369380000,1771369439999,84.89,84.91,84.89,84.91,127.11,10790.9736,16,False
1771369419790,2026-02-17 23:03:39.790000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,4.63,2857.367,12,False
1771369419790,2026-02-17 23:03:39.790000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,871.4,1283.58528,13,False
1771369420807,2026-02-17 23:03:40.807000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.618,109154.0364,32,False
1771369420807,2026-02-17 23:03:40.807000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,42.881,85437.83,25,False
