ts_unix_ms,ts_dt_utc,symbol,bid1_px,bid2_px,bid3_px,bid4_px,bid5_px,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,ask1_px,ask2_px,ask3_px,ask4_px,ask5_px,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,obi5
1771368469577,2026-02-17 22:47:49.577000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,254.15,3164.56,3647.55,3219.21,3145.53,85.24,85.25,85.26,85.27,85.28,4706.59,3539.98,3335.13,3874.07,4790.44,-0.20236860476268662
1771368469577,2026-02-17 22:47:49.577000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,101.26,324.86,357.63,268.85,154.42,619.1,619.2,619.3,619.4,619.5,32.97,329.04,303.35,289.05,283.45,-0.012614116030234672
1771368469577,2026-02-17 22:47:49.577000,XRPUSDT,1.478,1.4779,1.4778,1.4777,1.4776,11148.6,56179.5,52715.2,40775.4,31355.8,1.4781,1.4782,1.4783,1.4784,1.4785,11969.2,2293.9,23878.8,68435.0,51499.1,0.09735460763082422
1771368470595,2026-02-17 22:47:50.595000,BTCUSDT,67589.9,67589.8,67589.7,67587.3,67586.5,0.264,0.009,0.019,0.001,0.147,67590.0,67590.9,67591.6,67591.7,67592.7,3.469,0.041,0.009,0.157,0.009,-0.7866666666666666
1771368470595,2026-02-17 22:47:50.595000,ETHUSDT,1999.5,1999.4,1999.3,1999.2,1999.1,108.237,104.075,172.221,117.147,136.615,1999.6,1999.7,1999.8,1999.9,2000.0,1.047,0.191,58.12,146.833,103.271,0.3469591889060171
1771368470595,2026-02-17 22:47:50.595000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,254.15,3164.56,3647.55,3219.21,3145.53,85.24,85.25,85.26,85.27,85.28,4941.17,3305.4,3335.13,3874.07,4790.44,-0.20236860476268662
1771368470595,2026-02-17 22:47:50.595000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,101.26,324.86,357.63,268.85,154.42,619.1,619.2,619.3,619.4,619.5,32.97,329.04,303.35,289.05,283.45,-0.012614116030234672
1771368470595,2026-02-17 22:47:50.595000,XRPUSDT,1.478,1.4779,1.4778,1.4777,1.4776,11148.6,56179.5,52715.2,40775.4,31355.8,1.4781,1.4782,1.4783,1.4784,1.4785,11969.2,2293.9,23878.8,68435.0,51499.1,0.09735460763082422
1771368471612,2026-02-17 22:47:51.612000,BTCUSDT,67589.9,67589.8,67589.7,67587.3,67586.5,0.264,0.009,0.019,0.001,0.147,67590.0,67590.9,67591.6,67591.7,67592.7,3.469,0.041,0.009,0.157,0.009,-0.7866666666666666
1771368471612,2026-02-17 22:47:51.612000,ETHUSDT,1999.5,1999.4,1999.3,1999.2,1999.1,103.146,104.075,172.221,112.241,136.615,1999.6,1999.7,1999.8,1999.9,2000.0,0.997,0.191,33.118,171.834,103.271,0.3400703203232559
1771368471612,2026-02-17 22:47:51.612000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,254.15,3164.56,3647.55,3219.21,3145.53,85.24,85.25,85.26,85.27,85.28,4941.17,3305.4,3335.13,3874.07,4790.44,-0.20236860476268662
1771368471612,2026-02-17 22:47:51.612000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.99,324.86,357.63,268.85,154.42,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,283.45,-0.006160617861701153
